	past	now	future
-	45257.0	138379.0	27822.0
WW|inf|nom|zonder|zonder-n	149.0	404.0	160.0
WW|inf|vrij|zonder	836.0	3052.0	1057.0
WW|od|nom|met-e|mv-n	1.0	2.0	0.0
WW|od|nom|met-e|zonder-n	4.0	21.0	7.0
WW|od|prenom|met-e	204.0	420.0	121.0
WW|od|prenom|zonder	45.0	76.0	9.0
WW|od|vrij|zonder	67.0	241.0	35.0
WW|pv|conj|ev	3.0	13.0	2.0
WW|pv|tgw|ev	482.0	3142.0	539.0
WW|pv|tgw|met-t	787.0	4537.0	454.0
WW|pv|tgw|mv	216.0	693.0	428.0
WW|pv|verl|ev	1765.0	1291.0	146.0
WW|pv|verl|mv	159.0	136.0	36.0
WW|vd|nom|met-e|mv-n	1.0	5.0	4.0
WW|vd|nom|met-e|zonder-n	2.0	2.0	0.0
WW|vd|prenom|met-e	100.0	463.0	114.0
WW|vd|prenom|zonder	131.0	377.0	68.0
WW|vd|vrij|zonder	2012.0	3314.0	440.0
